risk_id,cluster_id,evidence_id,published_date,publisher,title,url,source_type,search_query,relevance_score,event_type_hint,entity_keywords,event_keywords,asset_keywords
RISK-UNKNOWN-UNKNOWN-460FD0FC,CL-000035,EV-53CFF93B02,2025-09-29,Security Boulevard,25 Recent Cyber Attacks That Serve as a Wake-Up Call for Businesses - Security Boulevard,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPNDdIMU5aVVM1cmk4eEZSMUZuelZManRJZnEyOXVwUzg0bkhSVDZidS1IMmhZNFhIeE5jRDFzZ0RqRmhiZU5Sa0prQ1hWVzNlWmVWSGw2TE5TbEsyd19GSmNJNzVyRU1xQ01XTjhHZ01Uam84cUxGc3RFZkpkcmw3azkyeVB0NllJUzFqWUtuTXNkWExKczVhQzhicW53ZVFZSkZRcjE4WHRQdw?oc=5,news,"cyber attack supply chain, network compromise logistics, data breach supplier, security breach logistics company",0.3,UNKNOWN,,,
RISK-CYBER_OPERATIONAL_DISRUPTION-UNKNOWN-29F36C0D,CL-000036,EV-945F0AEB0A,2025-10-01,Industrial Cyber,Brewer Asahi suspends domestic operations after cyberattack disrupts ordering and shipping - Industrial Cyber,https://news.google.com/rss/articles/CBMizAFBVV95cUxPYTlyNmVLaW52My0tMG9Lc0ZCcHVOZ2dyREtwS2RXdHI5NHJQbF82eDNhRnFpWlNSM3VVN0F6SWh1dWtzQ1pCamdCZVRGQXJUM3lkb1BXcHFXR21Wem5YZGRjbzBkcS1KNS0tN0F3MjhlTUdTend3S3hBRUQ4Y1BUTHhxN05OZ29mWmsyaUNMQ2U0RGgyZGVzLVBQTHN3dkQwcDRtTHpGVWwwd0cyNUlRTDZweU1sb2U3aXM0SXNwSl9JZlJ0ZHh3bjBodk4?oc=5,news,"cyberattack disrupted manufacturing,cyberattack halted shipping,order processing disrupted,operational disruptions after cyberattack",0.45,CYBER_OPERATIONAL_DISRUPTION,,,
RISK-UNKNOWN-UNKNOWN-FDF21798,CL-000038,EV-9BD951DD81,2025-10-02,European Business Magazine,AI Delivery Route Planning: Revolutionize Your Logistics - European Business Magazine,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPZVlNTGhqZjJfTHhKcm1qSE03dHNNUmZlaGNGM0hEYS1lWHl0VDNqOUMzUkxNUnZOOE9OSC1UZndJOEttUXUxZXNzZUp0OG9FVzdadEVaSk1NbDVDY0FRdEtDYmxzUG12b2l6LVczMWo5MFZicVpiZHpiWWNpdVFLc2dkY25KLTFxblNfT3Vpa1J2elBrbXRlMWhLZkRQOXgtbF9FNHhqN1E4cEpQeE9RMEowS3JGU29hZGF1bEY4NGVBQUHSAcsBQVVfeXFMTWttLWR3MS10aGZFUnZoVXNoRTFYLXZTVEMtVjlXRl9DSkN3SFpYWFlWV2s5TFdpNlJpU3otWGZLS2JaWDRLNFREcER5cWl6MVI0RFphVzJ2ZlNTcjhJVmppSkpPWFlQbXM2M1R1c0FWaHJ4QkdoSHdFazdzcWhEMTRBbm1ObDlDbVBxYm5vakFvbkpGU1hVUWhXN0c3UUMxVHhrUXZsZnpZNmJuOXFPNktod0V2TTJnejdvN2pNSm9YcU5oZVFtYklUeEk?oc=5,news,"logistics routing failure,shipment delay system",0.3,UNKNOWN,,,
RISK-CYBER_OPERATIONAL_DISRUPTION-UNKNOWN-29F36C0D,CL-000039,EV-7F34664D2F,2025-10-03,Manufacturing Digital Magazine,Asahi Cyber Attack: A Warning for Manufacturing OT Security - Manufacturing Digital Magazine,https://news.google.com/rss/articles/CBMikgFBVV95cUxOeTlyb1JlODVuME5OcS1iTVNEeVlwTktESDZnRlZKMDhDQzg4QXNkOTdPYThWTUFiQmZHcVZzcVh5X2EwQTgtM1ZPT0hibDdtXzJpUUEyb2p3U01uSTJQX21hUDBBN0NjazhRd0Nubk00Yk1HQmVsRzN4S2JoVTN4NmV6QlZGMWFMUUprQmswcnF4QQ?oc=5,news,"cyberattack disrupted manufacturing,cyberattack halted shipping,order processing disrupted,operational disruptions after cyberattack",0.2,CYBER_OPERATIONAL_DISRUPTION,,,
RISK-UNKNOWN-UNKNOWN-29DBC6B7,CL-000040,EV-886D4ED626,2025-10-06,Reuters,Japan's Asahi restarts beer production following cyberattack - Reuters,https://news.google.com/rss/articles/CBMitAFBVV95cUxOcjFydVhwZDBUVEcyTUdoVUh1NmZFT3UxcTRJMFBFd3ZxUGdqbWlmRTl4UDVuXzFMOWFHelB4bWhmU0cwbjdxZVFkWVliQ0lOMnF0LUJYMTRFamFPYWYtWUNSdTd0YTVWbVp1Q1pnbWZWSjVFNkhQbl85dG8zY29FN0JFLUYxN2ctWndlczNQWkxjZVhULWdTZGIxbFJubk55T05iM2JpOG4zVU9jYi1EQ25BSzU?oc=5,news,"cyberattack disrupted manufacturing,cyberattack halted shipping,order processing disrupted,operational disruptions after cyberattack",0.45,UNKNOWN,,,
RISK-UNKNOWN-WMS-D55FE7BC,CL-000042,EV-AD7E9981D4,2025-10-08,Cargo Airports & Airline Services,"CEVA Logistics adds Manhattan WMS, OMS to global warehouse innovation initiative - Cargo Airports & Airline Services",https://news.google.com/rss/articles/CBMiogFBVV95cUxNOXBVREcxaDdVeUR3ZXFKd2dJdlRDRUV0d25uQjAta21Ba2RNYlF1ZnA0eXQ1RnJpZEVaOU1qQ3ExUEx2anVQQnZEM3J3QURGdlNWR18zdjlyVFN1UEpoTkdpUTVBWjlKQlVyQm13VTZqRnR1RXpFdHl3bmZhVXVLbWU2cE9UWE9jeGs0cG1OMTJPa1BjbHg1VS1UcmNSNW4zSHc?oc=5,news,warehouse management system outage,0.5,UNKNOWN,,,wms
RISK-UNKNOWN-NETWORK-7CFD7EC8,CL-000044,EV-0BFA765A0C,2025-10-08,Fierce Network,Cisco has its own take on how to ‘scale across’ - Fierce Network,https://news.google.com/rss/articles/CBMiggFBVV95cUxOZE5uSGMxLXg3Z1ZlTnp3bk9reW1VNUJxci1xM0RES1A0T01CYUZ6NjJsNE1BakNVNWdMa1lGaXdMVEZjX2NvWXQyYzR5LUI0WDJqQzM1d3IxQVZhMVZjVnQyd2x2b1QzMVBDLWlrbjhfZDlJQ3hQRmU2ODBUdl9lQU1B?oc=5,news,data center connectivity loss,0.5,UNKNOWN,,,network
RISK-UNKNOWN-UNKNOWN-460FD0FC,CL-000057,EV-819AF89C85,2025-10-20,Cyber Magazine,Are Cybercriminals Targeting Transport and Supply Chains? - Cyber Magazine,https://news.google.com/rss/articles/CBMiggFBVV95cUxNVVJFRG1RclQyT2ZPV3RvaktXUGpQRTFwaHFYeGplRF9ZVjdQejdrNzc1MDFjMXJUdS1LYTg4OFk3cUYzZ0c5TUhoMXZ1SG5qdldlcllaV0J5V2JpRy0xMTQ5SVRCWFdnSmtMcHhDdVNhNl9EYmNqY0hOX3QzSzdQT1B3?oc=5,news,"ransomware attack, logistics ransomware, ransomware supply chain, manufacturing ransomware",0.55,UNKNOWN,,,
RISK-UNKNOWN-UNKNOWN-415B7881,CL-000062,EV-0F70B4E686,2025-10-21,The New York Times,Amazon Says Website Outages Ease After Disruption - The New York Times,https://news.google.com/rss/articles/CBMifkFVX3lxTFBsRGx3SXN0clFKRVBRTWRPd3hXZVNMYWFwUmNlcl9waHVQdWhfaGRBVFJsZGticmJwaXBSRDdWSVB0Zi1WTUFBb0ItZ2ZWUTZpUHBLVUwzZzM4MlB3VUQtN3pmVDk1OTI4dnVlRV9MeTRjbV9NQVl0Vkk4VnNZQQ?oc=5,news,"compute service disruption,storage failure",0.4,UNKNOWN,,disruption,
RISK-CYBER_OPERATIONAL_DISRUPTION-UNKNOWN-29F36C0D,CL-000066,EV-EB42DD50B1,2025-10-21,The HIPAA Journal,Massachusetts Hospitals Experiencing Disruption Due to Cyberattack - The HIPAA Journal,https://news.google.com/rss/articles/CBMic0FVX3lxTE9FVEFFbGs4R3BpeFNfeDBka0MxSkN6c2xXU0taaFRPcWpldEhrQzhzMUJPbjNVa1JoN1JEQnJ3Y29EN0UxVW9YZkYxTVN0eWlOS3FWWlVKc0lKMXJOSzk3UUJIZHF4U25OQUFYNVlPNC0tN1U?oc=5,news,"cyberattack disruption,operational outage",0.65,CYBER_OPERATIONAL_DISRUPTION,,disruption,
