cluster_id,cluster_type,profile_ids,event_type,primary_asset_or_service,business_function,start_date,end_date,evidence_ids,evidence_count,anchor_evidence_id,anchor_source_type,evidence_strength,entity_summary,impact_keywords,cluster_summary,confidence_score,publishers,urls,last_updated
CL-000011,INCIDENT,SP-008,SECURITY_BREACH,UNKNOWN,Vendor Risk,2025-10-07,2025-10-07,EV-302272D3FE,1,EV-302272D3FE,news,Weak,,breach,SECURITY_BREACH affecting UNKNOWN in Vendor Risk.,0.75,Malwarebytes,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNVzV6UkdHa2dfbnMzVE9WYzh3NHJPeF9pekVVV1RTT1NVRVBDM1FTTG1hN0F1M1pIdHNKX0dCRkEzYlh3ZktKSGoyeGhjbDh4UHdYQXhQdlZWNGF2Q21WWkl2SmxRczRnZVdMRmdST1FaUERZQWxNbGVrRHpmbUxCal9hRDVvRnpZUkZmSXhlbDRSUTJXaXI0SENsWWdKRlRiWU5HX2ZpcXFGZw?oc=5,2026-03-18T19:26:56
CL-000012,INCIDENT,SP-007,SECURITY_RANSOMWARE,UNKNOWN,Cybersecurity,2025-10-08,2025-10-08,EV-52E1DB27D9,1,EV-52E1DB27D9,news,Weak,,ransomware,SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity.,0.75,Rescana,https://news.google.com/rss/articles/CBMixgFBVV95cUxQNElqVjJiSGxRVW01Y1VrUTlLRkFBZksxb0Q2Tkoyd2xONFIxUWFybzJSX2pCZTRPN0VPWEFRYThqRjR2WEc1Z2pDZVRKaFpfRmtnbU9LSmQxd2ZpQ3Z6TVNUUXVueWlDTzdhQmhoZ0gyT3pBWHgwX1lsdlpFcENLLUJua2hxSDMyUHVuYnNqWV9sNGpkR1ZYT2QtTDJUUlV0R3p2WS16a3ZnQllRSjBrZzlmT2M5QzRBbFpnQkFHNE1VSGlDcnc?oc=5,2026-03-18T19:26:56
CL-000013,INCIDENT,SP-009,OUTAGE_NETWORK,network,Network Infrastructure,2025-10-13,2025-10-13,"EV-B0669977DC,EV-B0669977DC",2,EV-B0669977DC,news,Medium,,outage,OUTAGE_NETWORK affecting network in Network Infrastructure.,0.75,Inside Towers,https://news.google.com/rss/articles/CBMikgFBVV95cUxOdnVSSE1vOVRCUU94ZDNpNGhETV9rb0pYNGtvNUNPNTViVFpZek0wN2pSQ041LVBGSEs3U2VXWFVySHFFd0RLUXBJT3lCVkM0enZUQUJRWGcyRjdxdk41Slh3VGZSY2VRLXNDRWtHeU9HZGJtQmpsNnBrU1FJUlo5QThsYmlJeFppNmh0Z1FDNVNlZw?oc=5,2026-03-18T19:26:56
CL-000014,INCIDENT,SP-005,OUTAGE_CLOUD_REGION,cloud,Cloud Infrastructure,2025-10-19,2025-10-19,"EV-D4AA0C97C8,EV-D4AA0C97C8",2,EV-D4AA0C97C8,news,Medium,,outage,OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure.,0.75,Honolulu Star-Advertiser,https://news.google.com/rss/articles/CBMitwFBVV95cUxNUHZaZWNsUC1RT1VZTlU4eFdacjhQejREWWRnd2g3Tnctay1EWFlwdkl0cjZDRHEtWmI5YkZvT0I5bFp0ckRuaGlMaHpQQnVEQUd4VlpKT0ltZk5sT1pXN2FjS3hodS1qUkF2OGxEVTc2TWdVSllwQnVlZm1ya3Q1dTI4WWV0b0FkNld3RlpqbTV6Z1dDajJidWVUbGlyY2QzSEgteWZBUzlfdWM3Qjg3VzNOeHJER2c?oc=5,2026-03-18T19:26:56
CL-000015,INCIDENT,SP-005,OUTAGE_CLOUD_REGION,cloud,Cloud Infrastructure,2025-10-20,2025-10-20,"EV-E1C058A8F2,EV-E1C058A8F2",2,EV-E1C058A8F2,news,Medium,,outage,OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure.,0.75,Forrester,https://news.google.com/rss/articles/CBMilgFBVV95cUxPY0U0XzQ1Y3hTQi03WDByY0ZITjYxZXVCbF9sU1BleklaaXNJbGo3ZVpIYXJpc05rcWdJVTZ6QTh2X051VnhvTVQ1b1h6eDhZaXFBUkpGQ3BqWGtZTVRRQ2NOU2F6ME84UEtVZUl3U1hucFVzYWo4RnJRVU1hbEtMX05Fc0JLeDFEY25uSWNpZlVrNFprWkE?oc=5,2026-03-18T19:26:56
CL-000016,INCIDENT,SP-005,OUTAGE_CLOUD_REGION,cloud,Cloud Infrastructure,2025-10-20,2025-10-20,"EV-78049EC956,EV-78049EC956",2,EV-78049EC956,news,Medium,,outage,OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure.,0.75,PBS,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNTU1heVFjaGltR0oxLXM4a0U2Q0NjVW9OeW50SG1sd1l1cDAzeXpTOHVPY052Sy1mbWFya2t5SFE2Z3E5LTNtNExXOXdLeFQteTZLZnhtQ09UUk04U0cxZlNEckhydTFFS0dyVXNBR3BSWEh1aktNOHNGWkhJRG94M3hvTlA1WUZLVlc4emsxLU8xMF9Fd2xSb01JRWJjUFN5aE5sLVRIZmVXWVI0MHg2Ml9zS0RsdHJ5T3I4?oc=5,2026-03-18T19:26:56
CL-000017,INCIDENT,SP-005,OUTAGE_CLOUD_REGION,cloud,Cloud Infrastructure,2025-10-20,2025-10-20,"EV-0A24ACD7CB,EV-0A24ACD7CB",2,EV-0A24ACD7CB,news,Medium,,outage,OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure.,0.75,Tech Policy Press,https://news.google.com/rss/articles/CBMimgFBVV95cUxPenZmQjA5UXhTZV9iZHJxU0tUZ3habl9LOFlPNmItcDhXRmg2MmF1ejlLQlFodm1CWm9jY1pDdGNQREZ0bFJFZUo1RTdhSHlRY1pRbWJ3NFlXTVN3SFd4TUZhNGhUb0xUYXNTQ1pMVlRqMHdkZUs4WnUxZ0k4S2loZ1F0V3oxc1hHSV9mWXYyQXFuWHlwOHhBRlFB?oc=5,2026-03-18T19:26:56
CL-000018,INCIDENT,SP-005,OUTAGE_CLOUD_REGION,cloud,Cloud Infrastructure,2025-10-20,2025-10-20,"EV-52DA69C10E,EV-52DA69C10E",2,EV-52DA69C10E,news,Medium,,"disruption,outage",OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure.,0.75,DW.com;dw.com,https://news.google.com/rss/articles/CBMilwFBVV95cUxQZ1A0VVdFeXBMUWM0ak5jeE1PRkgzY21RTXFxVjl5YTVIOV95M0VreURNU2Z2LThGTG5QZ0FmdFlybVgwQWRWeV8zQmpNbGtsQlZ4TzI4dkRrM0JBREVHZGxFWGtTTDBSQjJaTlJscW1GN19HUzFneFNsNlY1alJvSHpycEVRY0NxbWN3Q1ZkSFFDQ1BCQVVZ0gGXAUFVX3lxTE5VSHFGSUtueXMxRkREM2VXUGZFR2FuV1JqbHdKM2dXXzd3MUd6bUhMTkU1OVlPbW1OdGs1V2J5TGx2alFFMU9lTklMTHdqTUgwVkxrYkJ0U01wbHZtdFBUTEswbFdsdUgyRWU0ZXFGNFYyRFlsVHlieGdNdGVpQnNSYVhQSEoyd2FLSGJaVUNWcncwY1l4SEE?oc=5,2026-03-18T19:26:56
CL-000019,INCIDENT,SP-005,OUTAGE_CLOUD_REGION,cloud,Cloud Infrastructure,2025-10-20,2025-10-20,"EV-42C77CE4E4,EV-42C77CE4E4",2,EV-42C77CE4E4,news,Medium,,outage,OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure.,0.75,The Conversation,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQSE5yN1hsbG54eGt3QnRaOWV1bkROeExNaHJRbnpHOUMtMng5YlZ5S2U5cWhUWVpwZlZGQ0JacDRvRjN6WVF2S3RsYjhOZUxGYkk3V0NSZnM1SkVNUi1xaXFQNE04NHVwTUZ3S0ZkNmhZc2NHWWRZdDFqZlgzV1JDQzFkOGxOWWpzekNoVFg4QWQtbTZBcXhqZDRwQTNwRnRHYkI2ejBuTDBlQjYycWVtYVUzTHZXaU9ieEpWVXFGcWJSVVRUSEVxRkFOR0J1YmZCdEE?oc=5,2026-03-18T19:26:56
CL-000020,INCIDENT,"SP-001,SP-004",OUTAGE_CLOUD_REGION,cloud,Distribution Operations,2025-10-21,2025-10-21,"EV-408A067684,EV-408A067684,EV-408A067684,EV-408A067684",4,EV-408A067684,news,Strong,,outage,OUTAGE_CLOUD_REGION affecting cloud in Distribution Operations.,0.75,Logistics Viewpoints,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNSWlCSnh2WWtpMncyb0tCV044MzBhMk5uclhGY2p5MmtyWFZabEx3cm1wNEJUTExNQnNYRlBCUnBlTUM2MUNCUlZqWnJSZVcyM0ZpUmVyWTRTSlMyd3gwcV8tZnd4WVdXbU0zU0FpYUZXQUh3OXZzU1BXSllUd1FkTFVXZXNlWTB1TnBrcUFLVFVhOTg2RTdhcDdqN0pBTzBaX2JVdkJ6RVY?oc=5,2026-03-18T19:26:56
