risk_id,event_type,asset,business_function,confidence,likelihood,impact,risk_score,evidence_strength
RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,OUTAGE_CLOUD_REGION,cloud,Cloud Infrastructure,Medium,3.0,5.0,15.0,Weak
RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,OUTAGE_CLOUD_REGION,cloud,Cloud Infrastructure,Medium,3.0,5.0,15.0,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-2C0420ED,OUTAGE_APPLICATION,applications,Identity & Access Management,Medium,3.0,5.0,15.0,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-3B65C7AF,OUTAGE_APPLICATION,applications,Cloud Infrastructure,Medium,3.0,5.0,15.0,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-3B65C7AF,OUTAGE_APPLICATION,applications,Cloud Infrastructure,Medium,3.0,5.0,15.0,Weak
RISK-SECURITY_BREACH-UNKNOWN-3FD148F9,SECURITY_BREACH,UNKNOWN,Cybersecurity,Medium,3.0,5.0,15.0,Weak
RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,SECURITY_RANSOMWARE,UNKNOWN,Cybersecurity,Medium,3.0,5.0,15.0,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-3B65C7AF,OUTAGE_APPLICATION,applications,Cloud Infrastructure,Medium,3.0,5.0,15.0,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-A3946B09,OUTAGE_APPLICATION,applications,Supplier Integration,Medium,3.0,5.0,15.0,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-7886056C,OUTAGE_APPLICATION,applications,Network Infrastructure,Medium,3.0,5.0,15.0,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-2C0420ED,OUTAGE_APPLICATION,applications,Identity & Access Management,Medium,3.0,5.0,15.0,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-A3946B09,OUTAGE_APPLICATION,applications,Supplier Integration,Medium,3.0,5.0,15.0,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-A3946B09,OUTAGE_APPLICATION,applications,Supplier Integration,Medium,3.0,5.0,15.0,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-2C0420ED,OUTAGE_APPLICATION,applications,Identity & Access Management,Medium,3.0,5.0,15.0,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-A3946B09,OUTAGE_APPLICATION,applications,Supplier Integration,Medium,3.0,5.0,15.0,Weak
RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,SECURITY_RANSOMWARE,UNKNOWN,Cybersecurity,Medium,3.0,5.0,15.0,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-2C0420ED,OUTAGE_APPLICATION,applications,Identity & Access Management,Medium,3.0,5.0,15.0,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-2C0420ED,OUTAGE_APPLICATION,applications,Identity & Access Management,Medium,3.0,5.0,15.0,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-3B65C7AF,OUTAGE_APPLICATION,applications,Cloud Infrastructure,Medium,3.0,5.0,15.0,Weak
RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,SECURITY_BREACH,UNKNOWN,Vendor Risk,Medium,,,,Medium
RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,SECURITY_BREACH,UNKNOWN,Vendor Risk,Medium,,,,Medium
RISK-OUTAGE_APPLICATION-ERP-717708EA,OUTAGE_APPLICATION,erp,Order Processing,High,3.0,4.0,12.0,Weak
RISK-OUTAGE_APPLICATION-SYSTEMS-3F520A3A,OUTAGE_APPLICATION,systems,Order Processing,High,3.0,4.0,12.0,Weak
RISK-OUTAGE_CLOUD_REGION-CLOUD-A6F509E2,OUTAGE_CLOUD_REGION,cloud,Order Processing,High,3.0,4.0,12.0,Weak
RISK-SECURITY_BREACH-SYSTEMS-C209CBF4,SECURITY_BREACH,systems,Vendor Risk,High,,,,Weak
RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,SECURITY_BREACH,UNKNOWN,Vendor Risk,High,,,,Weak
RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,SECURITY_BREACH,UNKNOWN,Vendor Risk,High,,,,Weak
RISK-OUTAGE_CLOUD_REGION-CLOUD-A6F509E2,OUTAGE_CLOUD_REGION,cloud,Order Processing,Medium,3.0,4.0,12.0,Weak
RISK-OUTAGE_APPLICATION-SYSTEMS-3F520A3A,OUTAGE_APPLICATION,systems,Order Processing,Medium,3.0,4.0,12.0,Weak
