risk_id,event_type,asset,business_function,confidence,likelihood,impact,risk_score,evidence_strength
RISK-DESTRUCTIVE_CYBER_ATTACK-ENDPOINTS-921EB452,DESTRUCTIVE_CYBER_ATTACK,endpoints,Security Operations,Low,,,,Weak
RISK-UNKNOWN-UNKNOWN-7D8B8397,UNKNOWN,UNKNOWN,Procurement & Supply Chain,Low,,,,Weak
RISK-UNKNOWN-UNKNOWN-7D8B8397,UNKNOWN,UNKNOWN,Procurement & Supply Chain,Low,,,,Weak
RISK-UNKNOWN-UNKNOWN-7D8B8397,UNKNOWN,UNKNOWN,Procurement & Supply Chain,Low,,,,Weak
RISK-UNKNOWN-UNKNOWN-7D8B8397,UNKNOWN,UNKNOWN,Procurement & Supply Chain,Low,,,,Weak
RISK-UNKNOWN-UNKNOWN-97597724,UNKNOWN,UNKNOWN,Vendor Risk,Low,,,,Weak
RISK-UNKNOWN-UNKNOWN-0C458AC6,UNKNOWN,UNKNOWN,Compliance & Governance,Low,,,,Weak
RISK-UNKNOWN-UNKNOWN-29DBC6B7,UNKNOWN,UNKNOWN,IT Operations,Low,,,,Weak
RISK-UNKNOWN-UNKNOWN-460FD0FC,UNKNOWN,UNKNOWN,Cybersecurity,Low,,,,Weak
RISK-UNKNOWN-LOGIN-E9FC5113,UNKNOWN,login,Identity & Access Management,Low,,,,Weak
RISK-UNKNOWN-UNKNOWN-0C458AC6,UNKNOWN,UNKNOWN,Compliance & Governance,Low,,,,Weak
RISK-DESTRUCTIVE_CYBER_ATTACK-SYSTEMS-EB0B09F8,DESTRUCTIVE_CYBER_ATTACK,systems,Security Operations,Low,,,,Weak
RISK-DESTRUCTIVE_CYBER_ATTACK-SYSTEMS-EB0B09F8,DESTRUCTIVE_CYBER_ATTACK,systems,Security Operations,Low,,,,Weak
RISK-UNKNOWN-UNKNOWN-7D8B8397,UNKNOWN,UNKNOWN,Procurement & Supply Chain,Low,,,,Weak
RISK-UNKNOWN-UNKNOWN-BABB868B,UNKNOWN,UNKNOWN,Identity & Access Management,Low,,,,Weak
RISK-UNKNOWN-UNKNOWN-0C458AC6,UNKNOWN,UNKNOWN,Compliance & Governance,Low,,,,Weak
RISK-UNKNOWN-UNKNOWN-AD10A240,UNKNOWN,UNKNOWN,Physical Infrastructure,Low,,,,Weak
